[49, 3b, 9, 1]
[27, 20, 5, 1]
[10, e, 2, 1]
[4, 3, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[1, 1, 0, 1]
[2, 2, 0, 1]
[5, 4, 1, 1]
[6, 5, 1, 1]
[5, 5, 1, 1]
[2, 2, 0, 1]
[1, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[0, 0, 0, 1]
[2, 2, 0, 1]
[7, 6, 2, 1]
[14, f, 4, 1]
[23, 1b, 5, 1]
[36, 2d, a, 1]
[41, 33, a, 1]
[3c, 2f, 6, 1]
[26, 1f, 6, 1]
[10, d, 2, 1]
[4, 3, 0, 1]
[0, 0, 0, 1]
[1, 1, 0, 1]
[2, 2, 0, 1]
[20, 15, 2, 1]
[21, 15, 1, 1]
[21, 15, 1, 1]
[22, 15, 2, 1]
[24, 1a, 6, 1]
[25, 1b, 4, 1]
[25, 1a, 6, 1]
[27, 1d, 9, 1]
[28, 1e, 9, 1]
[29, 20, b, 1]
[2b, 20, d, 1]
[2b, 21, d, 1]
[2b, 22, 10, 1]
[2c, 23, 10, 1]
[2b, 23, d, 1]
[2a, 22, d, 1]
[2a, 20, c, 1]
[28, 1e, c, 1]
[27, 20, 8, 1]
